DATAFLOW,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,TIME_PERIOD,OBS_VALUE,DECIMALS,UNIT_MULT,UNIT_MEASURE
ADB:ARIC_DAF_FIN(1.0),A,HKG,OUT_PORTFOLIO_EQUITY_INVSHARE,TAP,2017,0.4577072262763977,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,JPN,OUT_PORTFOLIO_DEBT_INVSHARE,AZE,2017,0.0029561496339738,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,JPN,OUT_PORTFOLIO_EQUITY_INVSHARE,CAM,2017,6.09607523074E-05,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,JPN,OUT_PORTFOLIO_EQUITY_INVSHARE,HKG,2017,0.8978566527366638,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,KAZ,OUT_PORTFOLIO_DEBT_INVSHARE,MEX,2017,0.0003985743096564,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,KOR,OUT_PORTFOLIO_EQUITY_INVSHARE,INO,2017,0.3434311747550964,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,KOR,IN_PORTFOLIO_EQUITY_INVSHARE,KAZ,2017,0.0001667335600359,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,KOR,IN_PORTFOLIO_EQUITY_INVSHARE,NZL,2017,0.0187225788831711,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,KOR,OUT_PORTFOLIO_EQUITY_INVSHARE,SIN,2017,0.6290452480316162,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,KOR,OUT_PORTFOLIO_DEBT_INVSHARE,SRI,2017,0.0027007006574422,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,KOR,OUT_PORTFOLIO_EQUITY_INVSHARE,USA,2017,45.48386383056641,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,LAO,IN_PORTFOLIO_EQUITY_INVSHARE,THA,2017,83.66856384277344,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,MAL,IN_PORTFOLIO_EQUITY_INVSHARE,CAN,2017,3.330756187438965,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,MAL,IN_PORTFOLIO_EQUITY_INVSHARE,PHI,2017,0.00082743098028,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,MAL,IN_PORTFOLIO_EQUITY_INVSHARE,PRC,2017,0.2336438447237015,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,MAL,OUT_PORTFOLIO_DEBT_INVSHARE,SRI,2017,0.0264660138636828,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,PER,OUT_PORTFOLIO_DEBT_INVSHARE,SIN,2017,0.1094118133187294,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,PHI,OUT_PORTFOLIO_DEBT_INVSHARE,MEX,2017,1.774442076683044,3,0,PCT
ADB:ARIC_DAF_FIN(1.0),A,PNG,IN_PORTFOLIO_EQUITY_INVSHARE,MAL,2017,0.0864093452692032,3,0,PCT
