Code id,Name,Parent
OC332,Sales and purchasing agents and brokers,OC33
OC3321,Insurance representatives,OC332
OC3322,Commercial sales representatives,OC332
OC3323,Buyers,OC332
OC3324,Trade brokers,OC332
OC333,Business services agents,OC33
OC3331,Clearing and forwarding agents,OC333
OC3332,Conference and event planners,OC333
OC3333,Employment agents and contractors,OC333
OC3334,Real estate agents and property managers,OC333
OC3339,Business services agents not elsewhere classified,OC333
OC334,Administrative and specialised secretaries,OC33
OC3341,Office supervisors,OC334
OC3342,Legal secretaries,OC334
OC3343,Administrative and executive secretaries,OC334
OC3344,Medical secretaries,OC334
OC335,Regulatory government associate professionals,OC33
OC3351,Customs and border inspectors,OC335
OC3352,Government tax and excise officials,OC335
OC3353,Government social benefits officials,OC335
OC3354,Government licensing officials,OC335
OC3355,Police inspectors and detectives,OC335
OC3359,Regulatory government associate professionals not elsewhere classified,OC335
OC34,"Legal, social, cultural and related associate professionals",OC3
OC341,"Legal, social and religious associate professionals",OC34
OC3411,Legal and related associate professionals,OC341
OC3412,Social work associate professionals,OC341
OC3413,Religious associate professionals,OC341
OC342,Sports and fitness workers,OC34
OC3421,Athletes and sports players,OC342
OC3422,"Sports coaches, instructors and officials",OC342
OC3423,Fitness and recreation instructors and program leaders,OC342
OC343,"Artistic, cultural and culinary associate professionals",OC34
OC3431,Photographers,OC343
OC3432,Interior designers and decorators,OC343
OC3433,"Gallery, museum and library technicians",OC343
OC3434,Chefs,OC343
OC3435,Other artistic and cultural associate professionals,OC343
OC35,Information and communications technicians,OC3
OC351,Information and communications technology operations and user support technicians,OC35
OC3511,Information and communications technology operations technicians,OC351
OC3512,Information and communications technology user support technicians,OC351
OC3513,Computer network and systems technicians,OC351
OC3514,Web technicians,OC351
OC352,Telecommunications and broadcasting technicians,OC35
OC3521,Broadcasting and audio-visual technicians,OC352
OC3522,Telecommunications engineering technicians,OC352
OC4,Clerical support workers,
OC41,General and keyboard clerks,OC4
OC411,General office clerks,OC41
OC4110,General office clerks,OC411
OC412,Secretaries (general),OC41
OC4120,Secretaries (general),OC412
OC413,Keyboard operators,OC41
OC4131,Typists and word processing operators,OC413
OC4132,Data entry clerks,OC413
OC42,Customer services clerks,OC4
OC421,"Tellers, money collectors and related clerks",OC42
OC4211,Bank tellers and related clerks,OC421
OC4212,"Bookmakers, croupiers and related gaming workers",OC421
OC4213,Pawnbrokers and money-lenders,OC421
OC4214,Debt-collectors and related workers,OC421
OC422,Client information workers,OC42
OC4221,Travel consultants and clerks,OC422
OC4222,Contact centre information clerks,OC422
OC4223,Telephone switchboard operators,OC422
OC4224,Hotel receptionists,OC422
OC4225,Enquiry clerks,OC422
OC4226,Receptionists (general),OC422
OC4227,Survey and market research interviewers,OC422
